Area,Page,Route,Section,Accent light,Accent dark,Auth,Purpose,Key design elements / components,Primary API
App,Dashboard,/dashboard,Overview,#1d7dbd,#5a9be8,User,"Command-center landing: greeting, workflow journey, usage/plan/analyses/top-tool cards, quick SERP search, instant tools, recent projects","PageHeader, horizontal workflow stepper (connector line + section-gradient chips), StatCard x4, ScoreRing, AreaChart sparkline, gradient search hub, tool tiles, DataTable (recent projects)","GET /usage/dashboard, GET /projects"
App,All-in-One (Workspace),/workspace,Overview,#1d7dbd,#5a9be8,User,"Single-page full analysis of keyword+domain: bento scorecards, AI advisor, findings, SERP+PAA, keyword metrics, sentiment, trends, top pages/competitors","PageHeader, analysis form, LocationLanguagePicker, StatCard bento, ScoreGauge, TrendChart, AiAdvisor, Tabs, DataTable, CacheBadge","POST /report/site, /serp/ranking, /keywords/*, /content/analyze"
App,Keyword Research,/keywords,1 Research,#6d28d9,#a78bfa,User,"Volume/CPC/competition, 12-month trend, Google Trends with period filters, suggestion tabs (long-tail/related/ideas), bulk keyword analysis","PageHeader, form, Select, TrendChart, Tabs, DataTable / KeywordTable, bulk textarea, CacheBadge, SaveToProject","POST /keywords/volume, /trends, /suggestions, /related, /ideas"
App,SERP Ranking,/serp,1 Research,#6d28d9,#a78bfa,User,"Crawl Google results (depth 10-100), Google-view + data table, compare two markets, People Also Ask, highlight a domain","PageHeader, form, LocationLanguagePicker x2, Select (depth/device), Live/Compare checkboxes, DataTable, Tabs, Badge, PAAList, CacheBadge, SaveToProject","POST /serp/ranking"
App,Domain Analytics,/domains,1 Research,#6d28d9,#a78bfa,User,"Domain authority strip, organic/paid overview, ranked keywords, WHOIS, detected technologies, rank history","PageHeader, form, AuthorityBadge, ScoreGauge, StatCard, DataTable, TrendChart, technology chips, CacheBadge","POST /domains/overview, /ranked-keywords, /history, /whois, /technologies"
App,Competitors,/competitors,1 Research,#6d28d9,#a78bfa,User,"Head-to-head domain comparison: authority rings, organic keywords, traffic value, keyword gap","PageHeader, dual-domain form, LocationLanguagePicker, authority rings, StatCard, DataTable (keyword gap), warning cards","POST /domains/competitors, /intersection"
App,Local SEO,/local,1 Research,#6d28d9,#a78bfa,User,"Google business listings search by query + location","PageHeader, form, listing cards (rating/reviews/address/phone)","POST /local/listings"
App,Site Audit,/audit,2 Audit,#a21caf,#e879f9,User,"Full-site technical crawl (5-200 pages): live progress, health gauge, severity tiles, issues table, crawled pages","PageHeader, form, live progress bar + radar, ScoreGauge, severity tiles (Errors/Warnings/Notices), DataTable","POST /audit/start, GET /audit/status/{id}"
App,On-Page,/onpage,2 Audit,#a21caf,#e879f9,User,"URL content score, readability, snippet pixel-preview, image/alt audit, indexability, keyword placement, competitive benchmark, Lighthouse","PageHeader, URL form, StatCard, Tabs, snippet pixel-preview, ScoreGauge, DataTable, FilterTile","POST /onpage/analyze, /onpage/lighthouse"
App,Content Analysis,/content,3 Optimize,#b45309,#fbbf24,User,"Sentiment + emotional connotation mix, phrase trends, top citations","PageHeader, form, sentiment gauge/donut, citation cards, TrendChart","POST /content/analyze, /sentiment, /phrase-trends"
App,Site Report,/report,3 Optimize,#b45309,#fbbf24,User,"Composite audit: bento header (health/keywords/traffic/rank/pages), AI advisor, findings, tabbed tables, print/PDF, schedule","PageHeader, form, StatCard bento, ScoreGauge, AiAdvisor, Tabs, DataTable, SaveToProject, print stylesheet, schedule dialog","POST /report/site, POST /schedules"
App,Rank Tracking,/rank,4 Track,#047857,#34d399,User,"Track a domain+keyword position over time, history chart with up/down deltas, optional alerts","PageHeader, track form, DataTable, TrendChart (inverted axis), delta badges","POST /rank/track, GET /rank/tracked, /rank/history"
App,Backlinks,/backlinks,4 Track,#047857,#34d399,User,"Link profile: authority, backlinks, referring domains, dofollow split, new/lost, spam score, anchors, link gap (subscription-gated)","PageHeader, form, ScoreGauge, StatCard, Tabs, DataTable, activation notice","POST /backlinks/summary, /list, /referring-domains, /anchors, /new-lost, /spam-score, /link-gap"
App,AI Visibility,/ai-visibility,4 Track,#047857,#34d399,User,"Is the domain cited in Google AI Overview / AI Mode; LLM mention metrics, AI keyword volume, ask-an-LLM","PageHeader, query form, job progress, verdict card, DataTable, ask-LLM box","POST /ai-visibility/check, /mentions, /ai-volume, /ask; GET /status/{id}"
App,Schedules,/schedules,4 Track,#047857,#34d399,User,"Manage recurring Site Reports: list with next/last run, run-now, pause, delete","PageHeader, DataTable, status chips, run/pause/delete actions, EmptyState","GET/POST /schedules, PATCH/DELETE /schedules/{id}, POST /run"
App,Projects,/projects,5 Manage,#3730a3,#818cf8,User,"Saved workspaces list, create project, cursor-paginated","PageHeader, project cards grid, create action, keyset pagination","GET /projects, POST /projects"
App,Project Detail,/projects/:id,5 Manage,#3730a3,#818cf8,User,"A project's saved runs; reopen a snapshot instantly ($0)","PageHeader, runs table/timeline, SavedRunView","GET /projects/{id}, /projects/{id}/runs"
App,Billing,/billing,5 Manage,#3730a3,#818cf8,User,"Current plan + usage meter, plans comparison, Razorpay checkout, GST invoices, billing address","PageHeader, usage meter, plan comparison cards, checkout button, DataTable (payments), invoice PDF download, address form","GET /billing/plans, /subscription, /payments; POST /checkout, /verify"
App,All Tools,/tools,Free tools,#475569,#94a3b8,User,"Gallery of the six local $0 analyzers","PageHeader, tool tiles (section-gradient chips), Free badges, focus rings","(client only)"
App,URL Analysis,/tools/url,Free tools,#475569,#94a3b8,User,"In-process single-URL analysis (structure, status, redirects, links, canonical, robots)","PageHeader, single URL input, result panel, FilterTile","POST /analyze/page"
App,Meta Analysis,/tools/meta,Free tools,#475569,#94a3b8,User,"Title, description, canonical, viewport, Open Graph, Twitter, schema","PageHeader, URL input, result panel, pixel-length meters","POST /analyze/page"
App,Heading Analysis,/tools/heading,Free tools,#475569,#94a3b8,User,"H1-H6 hierarchy, counts, structure issues","PageHeader, URL input, heading outline tree, level chips (section-gradient)","POST /analyze/page"
App,Image Analysis,/tools/image,Free tools,#475569,#94a3b8,User,"Every image with alt text, size, loading","PageHeader, URL input, image grid, FilterTile","POST /analyze/page"
App,Keyword Analysis,/tools/keyword,Free tools,#475569,#94a3b8,User,"Word count and keyword density of a page","PageHeader, URL + keyword input, density result","POST /analyze/page"
App,Sitemap Analysis,/tools/sitemap,Free tools,#475569,#94a3b8,User,"Discover XML sitemaps and explore site structure","PageHeader, URL input, SitemapGraph (d3 node graph), indexed-URL count","POST /analyze/sitemap"
Auth,Login,/login,-,#1d7dbd,#5a9be8,Public,"Email/password login + Sign in with Google","AuthLayout, form, gradient CTA, Google OAuth button","POST /auth/login, GET /auth/google/login"
Auth,Register,/register,-,#1d7dbd,#5a9be8,Public,"Create account + organization; optional 6-digit OTP verify","AuthLayout, form, OTP step, gradient CTA","POST /auth/register, /auth/signup/verify"
Auth,Forgot Password,/forgot-password,-,#1d7dbd,#5a9be8,Public,"Request a password reset link","AuthLayout, form","POST /auth/password/forgot"
Auth,Reset Password,/reset-password,-,#1d7dbd,#5a9be8,Public,"Set a new password from an emailed token","AuthLayout, form","POST /auth/password/reset"
Auth,OAuth Callback,/oauth,-,#1d7dbd,#5a9be8,Public,"Handle the Google OAuth return and sign in","spinner / redirect","GET /auth/google/callback"
Public,Landing,/,Marketing,#1d7dbd,#5a9be8,Public,"Marketing home: hero, features bento, integrations marquee, testimonials, pricing, CTA","PublicHero, aurora/mesh backdrop, cyber-grid, feature cards, logo marquee, pricing toggle, gradient CTAs","GET /public/plans"
Public,Features,/features,Marketing,#1d7dbd,#5a9be8,Public,"Feature showcase","hero, feature bento, gradient CTAs","(static)"
Public,Pricing,/pricing,Marketing,#1d7dbd,#5a9be8,Public,"Plans and comparison","plan cards, popular highlight, CTAs","GET /public/plans"
Public,About,/about,Marketing,#1d7dbd,#5a9be8,Public,"Company / about content","ContentPage layout, prose","GET /public/... (content)"
Public,Help,/help,Marketing,#1d7dbd,#5a9be8,Public,"Help / FAQ","ContentPage, FAQ accordion","(static/content)"
Public,Contact,/contact,Marketing,#1d7dbd,#5a9be8,Public,"Contact form","form, gradient CTA","POST /public/contact"
Public,Blog,/blog,Marketing,#1d7dbd,#5a9be8,Public,"Blog listing with categories","post cards, category filter","GET /public/blog, /public/blog-categories"
Public,Blog Post,/blog/:slug,Marketing,#1d7dbd,#5a9be8,Public,"Article page","BlogPost prose, cover image, FAQ, JSON-LD schema","GET /public/blog/{slug}"
Public,Web Stories,/webstories,Marketing,#1d7dbd,#5a9be8,Public,"Web-stories listing","story cards","GET /public/webstories"
Public,Web Story Viewer,/webstories/:slug,Marketing,#1d7dbd,#5a9be8,Public,"AMP-style story viewer","WebStoryViewer slides, progress","GET /public/webstories/{slug}"
Public,Technical SEO Guide,/guides/technical-seo,Marketing,#1d7dbd,#5a9be8,Public,"Pillar guide article","PillarGuide prose, table of contents, callout cards","(static content)"
Public,Privacy / Terms / Cookies,"/privacy, /terms, /cookies",Marketing,#1d7dbd,#5a9be8,Public,"Legal pages","ContentPage prose","(static)"
Admin,Admin Login,/admin/login,Admin,#1d7dbd,#5a9be8,Public,"Platform-admin login (ADMIN_EMAILS only)","AdminLogin form","POST /auth/admin/login"
Admin,Admin Shell,/admin,Admin,#1d7dbd,#5a9be8,Admin,"Back-office shell with permission-gated tabs","AdminShell, tab sidebar","GET /admin/me, /admin/stats"
Admin,Users,/admin (users),Admin,#1d7dbd,#5a9be8,Admin,"User roster + per-user spend; create/edit/reset/deactivate","DataTable, create/edit modals, badges","GET/POST/PATCH/DELETE /admin/users, POST /reset-password"
Admin,Plans & Subscriptions,/admin (plans),Admin,#1d7dbd,#5a9be8,Admin,"Plans + subscriptions management","DataTable, forms","GET/POST/PATCH/DELETE /admin/plans, /admin/subscriptions"
Admin,Payments,/admin (payments),Admin,#1d7dbd,#5a9be8,Admin,"Payments, refunds, invoice download","DataTable, refund action, invoice PDF","GET /admin/payments, PATCH, POST /refund, GET /invoice"
Admin,Website Settings,/admin (settings),Admin,#1d7dbd,#5a9be8,Admin,"Public-site configuration","settings form","GET/PUT /admin/settings"
Admin,Blog Editor,/admin (blogs),Admin,#1d7dbd,#5a9be8,Admin,"Blog CMS (categories + rich-text posts)","RichEditor (CKEditor 5), image upload, DataTable","GET/POST/PATCH/DELETE /admin/blogs, /admin/blog-categories"
Admin,Web Story Editor,/admin (webstories),Admin,#1d7dbd,#5a9be8,Admin,"Web-story CMS","slide editor, DataTable","GET/POST/PATCH/DELETE /admin/webstories"
Admin,Contact,/admin (contact),Admin,#1d7dbd,#5a9be8,Admin,"Contact-form inbox: read, reply, export","DataTable, reply, export","GET /admin/contact-submissions, PATCH, POST /reply, export"
Admin,Emails,/admin (emails),Admin,#1d7dbd,#5a9be8,Admin,"Email delivery log: list, retry, export","DataTable, retry action","GET /admin/email-logs, POST /retry, export"
Admin,Usage,/admin (usage),Admin,#1d7dbd,#5a9be8,Admin,"Platform-wide usage history","DataTable, export","GET /admin/usage-history, export"
Admin,Roles,/admin (roles),Admin,#1d7dbd,#5a9be8,Admin,"Admin RBAC roles + permissions","DataTable, permission toggles","GET/POST /admin/roles, PATCH/DELETE /admin/roles/{id}"
